FY,Hour,Total_MWh_Dispatched,Total_Revenue,VWAP,State,Fuel_Type,% of total MWh dispatched,% of total revenue
2020,0,0.0,0.0,,NSW,Battery,0.0,0.0
2020,1,0.0,0.0,,NSW,Battery,0.0,0.0
2020,2,0.0,0.0,,NSW,Battery,0.0,0.0
2020,3,0.0,0.0,,NSW,Battery,0.0,0.0
2020,4,0.0,0.0,,NSW,Battery,0.0,0.0
2020,5,0.0,0.0,,NSW,Battery,0.0,0.0
2020,6,0.0,0.0,,NSW,Battery,0.0,0.0
2020,7,0.0,0.0,,NSW,Battery,0.0,0.0
2020,8,0.0,0.0,,NSW,Battery,0.0,0.0
2020,9,0.0,0.0,,NSW,Battery,0.0,0.0
2020,10,0.0,0.0,,NSW,Battery,0.0,0.0
2020,11,0.0,0.0,,NSW,Battery,0.0,0.0
2020,12,0.0,0.0,,NSW,Battery,0.0,0.0
2020,13,0.0,0.0,,NSW,Battery,0.0,0.0
2020,14,0.0,0.0,,NSW,Battery,0.0,0.0
2020,15,0.0,0.0,,NSW,Battery,0.0,0.0
2020,16,0.0,0.0,,NSW,Battery,0.0,0.0
2020,17,0.0,0.0,,NSW,Battery,0.0,0.0
2020,18,0.0,0.0,,NSW,Battery,0.0,0.0
2020,19,0.0,0.0,,NSW,Battery,0.0,0.0
2020,20,0.0,0.0,,NSW,Battery,0.0,0.0
2020,21,0.0,0.0,,NSW,Battery,0.0,0.0
2020,22,0.0,0.0,,NSW,Battery,0.0,0.0
2020,23,0.0,0.0,,NSW,Battery,0.0,0.0
2021,0,0.0,0.0,,NSW,Battery,0.0,0.0
2021,1,0.0,0.0,,NSW,Battery,0.0,0.0
2021,2,0.0,0.0,,NSW,Battery,0.0,0.0
2021,3,0.0,0.0,,NSW,Battery,0.0,0.0
2021,4,0.0,0.0,,NSW,Battery,0.0,0.0
2021,5,0.0,0.0,,NSW,Battery,0.0,0.0
2021,6,0.0,0.0,,NSW,Battery,0.0,0.0
2021,7,0.0,0.0,,NSW,Battery,0.0,0.0
2021,8,0.0,0.0,,NSW,Battery,0.0,0.0
2021,9,0.0,0.0,,NSW,Battery,0.0,0.0
2021,10,0.0,0.0,,NSW,Battery,0.0,0.0
2021,11,0.0,0.0,,NSW,Battery,0.0,0.0
2021,12,0.0,0.0,,NSW,Battery,0.0,0.0
2021,13,0.0,0.0,,NSW,Battery,0.0,0.0
2021,14,0.0,0.0,,NSW,Battery,0.0,0.0
2021,15,0.0,0.0,,NSW,Battery,0.0,0.0
2021,16,0.0,0.0,,NSW,Battery,0.0,0.0
2021,17,0.0,0.0,,NSW,Battery,0.0,0.0
2021,18,0.0,0.0,,NSW,Battery,0.0,0.0
2021,19,0.0,0.0,,NSW,Battery,0.0,0.0
2021,20,0.0,0.0,,NSW,Battery,0.0,0.0
2021,21,0.0,0.0,,NSW,Battery,0.0,0.0
2021,22,0.0,0.0,,NSW,Battery,0.0,0.0
2021,23,0.0,0.0,,NSW,Battery,0.0,0.0
2022,0,538.335,114720.325325,213.1021117426881,NSW,Battery,0.007232272887952857,0.013143013993727998
2022,1,358.78333333333336,69389.5447,193.40236363636362,NSW,Battery,0.005054548342552028,0.009170194674902215
2022,2,239.83083333333335,39423.45183333333,164.38024788305646,NSW,Battery,0.0035230286983057935,0.005999177603521059
2022,3,293.1691666666667,63105.368275,215.25240526658385,NSW,Battery,0.004389448927485768,0.009981559962611245
2022,4,398.515,48085.072941666665,120.66063496146108,NSW,Battery,0.005912286765818273,0.007350600484294792
2022,5,403.17833333333334,59002.533891666666,146.34351356099657,NSW,Battery,0.005715330740692395,0.007605481059323075
2022,6,618.0225,195626.45299166668,316.5361341887499,NSW,Battery,0.008150015181361719,0.01908166069853597
2022,7,489.6,220818.23796666667,451.0176429057734,NSW,Battery,0.006171757876202076,0.018324270650085437
2022,8,335.1091666666667,73320.5707,218.7960760050829,NSW,Battery,0.004252466051863434,0.007842751752963954
2022,9,427.4066666666667,81108.766275,189.76953941211335,NSW,Battery,0.0056591320278138076,0.010281776186739736
2022,10,390.05833333333334,81753.713525,209.59355701070353,NSW,Battery,0.005388345129369435,0.013161830580960219
2022,11,358.34250000000003,68822.77649166666,192.05864917409087,NSW,Battery,0.0050819235603143265,0.012727129647836866
2022,12,296.06583333333333,53128.559425,179.44846531880577,NSW,Battery,0.004228322705612219,0.009506958331199123
2022,13,343.6533333333333,68109.367525,198.19207590498175,NSW,Battery,0.004855189130569284,0.010821510669794447
2022,14,410.90416666666664,111675.32286666667,271.7794851597595,NSW,Battery,0.005635378596536655,0.01413988766840834
2022,15,578.5791666666667,161336.618725,278.8496856091431,NSW,Battery,0.007502527773848696,0.017424866622994216
2022,16,831.465,275009.84805833333,330.7533667181821,NSW,Battery,0.009947958788795183,0.02273784121056933
2022,17,1451.7058333333334,1315736.772025,906.3384205075982,NSW,Battery,0.016017428354332886,0.04901713553013082
2022,18,1441.4116666666666,1050950.5330666667,729.1119930346061,NSW,Battery,0.015331737775526282,0.033118425890671654
2022,19,941.6783333333333,265086.6391833333,281.50444775020486,NSW,Battery,0.010191222561821277,0.015214834802272632
2022,20,852.7691666666667,253577.648625,297.35790004719917,NSW,Battery,0.009569059126051145,0.018449451419532623
2022,21,666.6316666666667,162129.51788333335,243.20704519487276,NSW,Battery,0.007868426942331528,0.014073206846825512
2022,22,629.8408333333333,163413.56583333333,259.45216185570695,NSW,Battery,0.007830199207873556,0.014898883609809515
